ambit,teleconnexio,variable,n,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r,abs_spearman_r,subregio,estacio,periode,pearson_q_fdr,spearman_q_fdr,significatiu_fdr_005
estacio_periode,wemo,vent_u10,120,0.6630181763110383,1.5876657314841402e-16,0.6273290158413171,1.7677792097233074e-14,0.6630181763110383,0.6273290158413171,,Winter,2001-2010,9.159609989331579e-15,8.838896048616536e-13,True
subregio_periode,nao,pressio_nivell_mar,120,0.6602880007656683,2.3288740928789176e-16,0.6141644240877117,8.662843696080063e-14,0.6602880007656683,0.6141644240877117,Llevant_Iberic,,2011-2020,1.318230618610708e-14,4.02922962608375e-12,True
estacio_periode,wemo,vent_u10,120,0.6590402895389362,2.770847765204489e-16,0.6822970929751806,9.43089076061299e-18,0.6590402895389362,0.6822970929751806,,Autumn,1991-2000,1.5537464103950405e-14,6.150580930834559e-16,True
estacio_periode,nao,pressio_nivell_mar,120,0.658896997654718,2.8265501197827397e-16,0.6221865190347483,3.31832694971927e-14,0.658896997654718,0.6221865190347483,,Autumn,1981-1990,1.570305622101522e-14,1.6186960730337904e-12,True
estacio_periode,wemo,vent_u10,120,0.6555058792217245,4.512971760649676e-16,0.5486210174207796,8.759311129111834e-11,0.6555058792217245,0.5486210174207796,,Autumn,2011-2020,2.4616209603543687e-14,3.1098146020515385e-09,True
subregio_periode,nao,pressio_nivell_mar,120,0.6527019249673368,6.615049963793393e-16,0.6195081468083924,4.585450244225592e-14,0.6527019249673368,0.6195081468083924,Golf_Lleo,,1981-1990,3.5757026831315635e-14,2.18354773534552e-12,True
subregio_estacio,nao,pressio_nivell_mar,120,0.6523460796031615,6.941992156688168e-16,0.6321917511154873,9.64089769844298e-15,0.6523460796031615,0.6321917511154873,Llevant_Iberic,Summer,,3.718924369654376e-14,4.986671223332575e-13,True
global,nao,pressio_nivell_mar,1920,0.6498228871655591,8.74396945694212e-231,0.6182932695591559,6.818308639994493e-203,0.6498228871655591,0.6182932695591559,,,,5.246381674165272e-227,4.0909851839966954e-199,True
subregio_estacio,nao,pressio_nivell_mar,120,0.6494533637463171,1.025100524294457e-15,0.6107367519747549,1.2946358457042542e-13,0.6494533637463171,0.6107367519747549,Llevant_Iberic,Spring,,5.3952659173392473e-14,5.929629827653073e-12,True
estacio_periode,nao,pressio_nivell_mar,120,0.648002084049551,1.2445426079828565e-15,0.6851612569551889,6.086040928059437e-18,0.648002084049551,0.6851612569551889,,Autumn,2001-2010,6.49326578078012e-14,4.012774238280947e-16,True
estacio_periode,wemo,pressio_nivell_mar,120,-0.6474434638739042,1.340649545403755e-15,-0.692708218484829,1.8730036752048894e-18,0.6474434638739042,0.692708218484829,,Summer,2011-2020,6.93439420036425e-14,1.2917266725550962e-16,True
subregio_estacio,nao,pressio_nivell_mar,120,0.6461086338715661,1.6004376592051657e-15,0.6650681401197946,1.187631159420777e-16,0.6461086338715661,0.6650681401197946,Golf_Lleo,Autumn,,8.207372611308543e-14,7.413734653282695e-15,True
subregio,nao,pressio_nivell_mar,480,0.6451862856758601,7.525814433944394e-58,0.6068841507629017,1.25336856939095e-49,0.6451862856758601,0.6068841507629017,Mediterrani_Central_Occidental,,,3.473452815666643e-55,5.371579583104071e-47,True
subregio_estacio,nao,pressio_nivell_mar,120,0.6442046710122942,2.0573290537103962e-15,0.6450515145462308,1.840300659279013e-15,0.6442046710122942,0.6450515145462308,Golf_Lleo,Summer,,1.0460995188357947e-13,9.947571131237907e-14,True
