data,any,mes,dies_mes,estacio,periode,subregio,nao,wemo,roni,fase_nao,fase_wemo,fase_enso,temperatura_mitjana,precipitacio_mm_dia,precipitacio_mensual_mm,humitat_sol_capa1,humitat_sol_capa2,evaporacio_potencial,temperatura_superficie_mar,pressio_nivell_mar,vent_u10,vent_v10,velocitat_vent,anomalia_temperatura,anomalia_precipitacio_mm_dia,anomalia_precipitacio_mensual_mm,anomalia_humitat_sol_capa1,anomalia_sst,mes_molt_calid,mes_molt_fred,mes_molt_sec,mes_molt_humit,sol_molt_sec,sol_molt_humit,episodi_calid_i_sec,episodi_fred_i_humit,episodi_calid_i_sol_sec
1983-02-01,1983,2,28,Winter,1981-1990,Llevant_Iberic,-1.25,-0.14,2.2,Negative,Neutral,El Nino,8.666276,1.4133087,39.57264471054077,0.24052322,0.2379953,-0.0027045156,13.947033,1019.0127,0.702075,-0.68594784,0.9815466,-2.129959,0.2529807,6.859259080514313,-0.02444765,-0.51197624,False,True,False,False,True,False,False,False,False
1983-03-01,1983,3,31,Spring,1981-1990,Llevant_Iberic,1.79,0.66,1.7,Positive,Positive,El Nino,12.4748125,0.43583372,13.510845392942429,0.2033923,0.23234816,-0.0053382,14.502641,1020.0936,0.5651009,-0.8023187,0.9813533,-0.06833649,-0.7204441,-22.333764570206405,-0.04023914,-0.35394764,False,False,False,False,True,False,False,False,False
1983-04-01,1983,4,30,Spring,1981-1990,Llevant_Iberic,-1.01,0.06,1.4,Negative,Neutral,El Nino,13.963369,0.53522575,16.056772470474243,0.17545365,0.19372112,-0.00712927,15.55931,1014.31323,1.7700657,0.92786944,1.998518,-0.3704548,-0.80988944,-24.296683855354786,-0.059677586,-0.40817928,False,False,False,False,True,False,False,False,False
1983-05-01,1983,5,31,Spring,1981-1990,Llevant_Iberic,-0.57,2.59,1.0,Negative,Positive,El Nino,16.44802,0.29899743,9.26892039179802,0.14952727,0.17768447,-0.0082485275,16.994133,1013.6869,1.8488784,0.9955525,2.0998752,-0.87418556,-0.840238,-26.047376304864883,-0.06426327,-1.1347923,False,False,False,False,True,False,False,False,False
1983-06-01,1983,6,30,Summer,1981-1990,Llevant_Iberic,0.54,-0.77,0.6,Positive,Negative,El Nino,20.578814,0.9994689,29.984067678451538,0.18135816,0.18384117,-0.007948158,20.516144,1017.07715,-1.2467643,-0.40807515,1.3118485,-0.66706467,0.3908205,11.724615532904863,0.0073037297,-0.74827385,False,False,False,False,False,False,False,False,False
1983-07-01,1983,7,31,Summer,1981-1990,Llevant_Iberic,-0.75,0.5,0.1,Negative,Positive,Neutral,23.967297,0.31183782,9.666972488164902,0.15889163,0.19652386,-0.008566637,24.230124,1014.32916,0.07231772,0.9386113,0.94139314,-0.2153244,0.053751886,1.6663081392645829,0.020342022,0.07283974,False,False,False,False,False,True,False,False,False
1983-08-01,1983,8,31,Summer,1981-1990,Llevant_Iberic,0.56,0.39,-0.2,Positive,Neutral,Neutral,22.980558,1.4024762,43.47676193714142,0.19235472,0.18986523,-0.007100005,24.333405,1015.39905,-0.3958071,-0.036233574,0.3974621,-1.6352386,0.84855133,26.30509171411395,0.044172794,-1.1649666,False,True,False,False,False,True,False,False,False
1983-09-01,1983,9,30,Autumn,1981-1990,Llevant_Iberic,-0.65,0.45,-0.6,Negative,Neutral,La Nina,22.686878,0.21676241,6.502872258424759,0.16291627,0.20154016,-0.0068211136,24.03298,1017.7716,-0.9589619,-0.42003593,1.0469184,0.7210865,-1.080826,-32.42478106543422,-0.024054214,-0.24245071,False,False,True,False,True,False,False,False,False
1983-10-01,1983,10,31,Autumn,1981-1990,Llevant_Iberic,2.06,0.78,-0.9,Positive,Positive,La Nina,18.862392,0.4570792,14.169455260038376,0.15612529,0.16861424,-0.0047068666,22.599602,1021.9088,-0.9567684,-0.6019822,1.130393,0.5829506,-1.1066291,-34.30550151318312,-0.06876509,0.95018005,False,False,True,False,True,False,False,False,False
1983-11-01,1983,11,30,Autumn,1981-1990,Llevant_Iberic,-2.28,-1.14,-1.1,Negative,Negative,La Nina,15.514046,2.23711,67.11329698562622,0.31083307,0.2749003,-0.0021671122,19.383049,1016.3092,0.86835694,-0.038405824,0.86920583,1.4825029,0.48627102,14.58812890201807,0.0496186,0.69558716,True,False,False,False,False,True,False,False,False
1983-12-01,1983,12,31,Winter,1981-1990,Llevant_Iberic,0.83,0.08,-1.0,Positive,Neutral,La Nina,11.253224,0.9391091,29.11238169670105,0.28373826,0.2830551,-0.0022511198,16.69152,1020.04456,1.6409246,0.072749525,1.6425364,-0.08938694,-0.28277397,-8.765994833223523,0.0045417547,0.41693497,False,False,False,False,False,False,False,False,False
1984-01-01,1984,1,31,Winter,1981-1990,Llevant_Iberic,2.53,1.72,-0.5,Positive,Positive,La Nina,10.29837,0.58720785,18.203443467617035,0.250471,0.26097834,-0.002628852,15.030999,1022.7288,2.9153948,-0.5401107,2.9650037,-0.052868843,-0.65933055,-20.439245109120385,-0.023729533,0.043740273,False,False,False,False,True,False,False,False,False
1984-02-01,1984,2,29,Winter,1981-1990,Llevant_Iberic,1.73,0.74,-0.3,Positive,Positive,Neutral,9.953104,1.390375,40.32087552547455,0.21995103,0.23321445,-0.0036052745,14.4078865,1020.54846,1.4190221,-1.0023485,1.737333,-0.84313107,0.23004699,7.60748989544809,-0.045019835,-0.051122665,False,False,False,False,True,False,False,False,False
1984-03-01,1984,3,31,Spring,1981-1990,Llevant_Iberic,-2.12,-0.27,-0.3,Negative,Neutral,Neutral,10.249998,1.2046595,37.34444332122803,0.27221754,0.26495385,-0.0042526335,14.09671,1014.7497,1.0703189,-0.1707223,1.0838491,-2.293151,0.048381686,1.4998333580791936,0.028586105,-0.75987816,False,True,False,False,False,True,False,False,False
1984-04-01,1984,4,30,Spring,1981-1990,Llevant_Iberic,0.33,-0.8,-0.5,Neutral,Negative,La Nina,14.384105,0.96101165,28.830349445343018,0.2175182,0.24014956,-0.0063556647,15.564211,1014.5293,-0.8241999,-1.1059418,1.3792797,0.05028057,-0.38410354,-11.523106880486012,-0.017613038,-0.40327835,False,False,False,False,False,False,False,False,False
1984-05-01,1984,5,31,Spring,1981-1990,Llevant_Iberic,-2.34,0.68,-0.6,Negative,Positive,La Nina,14.349956,2.9792511,92.35678553581238,0.2900837,0.27205035,-0.00605923,16.66107,1009.98126,2.557326,0.90137917,2.7115312,-2.972251,1.8400158,57.040488839149475,0.07629317,-1.4678555,False,True,False,True,False,True,False,True,False
1984-06-01,1984,6,30,Summer,1981-1990,Llevant_Iberic,0.33,0.67,-0.4,Neutral,Positive,Neutral,19.063416,0.3800552,11.401655673980713,0.1980808,0.23500307,-0.008405733,18.694366,1016.73236,-0.42928806,-0.23661731,0.49017954,-2.1824627,-0.22859323,-6.857796471565962,0.024026364,-2.5700512,False,True,False,False,False,True,False,False,False
1984-07-01,1984,7,31,Summer,1981-1990,Llevant_Iberic,0.93,-1.13,-0.2,Positive,Negative,Neutral,23.620024,0.08257268,2.559753194451332,0.12536533,0.17201947,-0.009607803,23.062483,1016.93823,-1.5301079,-0.21183442,1.5447018,-0.5625973,-0.17551325,-5.440911154448987,-0.013184279,-1.094801,False,False,False,False,False,False,False,False,False
1984-08-01,1984,8,31,Summer,1981-1990,Llevant_Iberic,1.0,-1.07,-0.1,Positive,Negative,Neutral,22.835802,0.46670723,14.467924118041992,0.14702208,0.16335191,-0.007867467,24.431286,1016.3261,-1.6902076,-0.60435176,1.795005,-1.779995,-0.08721763,-2.703746104985477,-0.0011598468,-1.0670853,False,True,False,False,False,False,False,False,False
1984-09-01,1984,9,30,Autumn,1981-1990,Llevant_Iberic,-1.31,1.64,-0.1,Negative,Positive,Neutral,21.19088,0.6430959,19.292877316474915,0.16874935,0.17792739,-0.0068214256,23.582174,1015.1229,-0.13700151,-0.31236932,0.34109238,-0.7749119,-0.65449256,-19.634776007384062,-0.01822114,-0.6932564,False,False,False,False,False,False,False,False,False
