model,term,coef_logit,odds_ratio,p_value,or_ci_low,or_ci_high,pseudo_r2,n,q_fdr
H5_periode_subregio_estacio,C(estacio)[T.Summer],0.41309195006250005,1.5114840005928538,0.13595348519513362,0.8781668826595002,2.601537280851892,0.06070969492166489,1920,0.24053264903661464
H5_periode_subregio_estacio,C(estacio)[T.Autumn],0.16709132486900635,1.1818621937900406,0.5639218403304513,0.6700105333233424,2.084740725167261,0.06070969492166489,1920,0.6265798225893904
H5_complet_teleconnexions,Intercept,-4.228066816252437,0.01458055020343637,2.294700190328159e-24,0.006463161141570598,0.03289295123210664,0.10003967186794283,1920,3.442050285492238e-23
H5_complet_teleconnexions,C(periode)[T.1991-2000],0.4616858147932937,1.5867466925640568,0.250308509931372,0.7222048317103132,3.4862201910231545,0.10003967186794283,1920,0.375462764897058
H5_complet_teleconnexions,C(periode)[T.2001-2010],1.3840741997259607,3.9911292053659353,0.00014184225149699116,1.9564312965366524,8.141922674270868,0.10003967186794283,1920,0.0005319084431137168
H5_complet_teleconnexions,C(periode)[T.2011-2020],1.787780687179174,5.976174736902163,1.750252825867856e-07,3.0558048344048796,11.687482159816367,0.10003967186794283,1920,8.75126412933928e-07
H5_complet_teleconnexions,C(subregio)[T.Catalunya_Balears],-0.2528548098132625,0.7765806255249369,0.3486449069418024,0.4576559385725836,1.3177529604918587,0.10003967186794283,1920,0.4104602314234957
H5_complet_teleconnexions,C(subregio)[T.Golf_Lleo],-0.10233925598553255,0.9027232454494074,0.6953789844110659,0.5408607663882261,1.5066895373397724,0.10003967186794283,1920,0.69979227157181
H5_complet_teleconnexions,C(subregio)[T.Mediterrani_Central_Occidental],-0.424015437932825,0.6544137790349145,0.13083541742516314,0.37753732634321746,1.1343445119421942,0.10003967186794283,1920,0.24053264903661464
H5_complet_teleconnexions,C(estacio)[T.Spring],0.4137971570498269,1.5125502856029343,0.1628661736234046,0.8458800294977259,2.70464875241941,0.10003967186794283,1920,0.25715711624748094
H5_complet_teleconnexions,C(estacio)[T.Summer],0.646571212415836,1.908984093652547,0.031086362272078023,1.0605425167182772,3.4361849830358926,0.10003967186794283,1920,0.07173775908941082
H5_complet_teleconnexions,C(estacio)[T.Autumn],0.4429895757277238,1.5573560999531468,0.15486281479436126,0.8459052851293924,2.867174451676685,0.10003967186794283,1920,0.25715711624748094
H5_complet_teleconnexions,nao,0.26694257381756825,1.3059654475671871,1.4369707110057095e-05,1.1575876687198157,1.4733620582927756,0.10003967186794283,1920,6.158445904310184e-05
H5_complet_teleconnexions,wemo,-0.2638503748555058,0.7680884564055482,0.004840527439743877,0.6392895794377303,0.9228366859699806,0.10003967186794283,1920,0.013201438472028754
H5_complet_teleconnexions,roni,0.3125695015863956,1.3669329418803653,0.006055759438845308,1.093485632976809,1.7087610584430404,0.10003967186794283,1920,0.015139398597113269
