ambit,teleconnexio,fase_a,fase_b,variable_booleana,n_a,n_b,events_a,events_b,rate_a_pct,rate_b_pct,diff_el_nino_minus_la_nina_pct,chi2_p,abs_diff_pct,subregio,estacio,periode,q_fdr
subregio_estacio,roni,La Nina,El Nino,mes_molt_sec,46,40,1,3,2.1739130434782608,7.5,5.326086956521739,0.5114719839343952,5.326086956521739,Llevant_Iberic,Winter,,1.0
subregio_periode,roni,La Nina,El Nino,mes_molt_humit,35,29,3,4,8.571428571428571,13.793103448275861,5.22167487684729,0.7917865298306163,5.22167487684729,Llevant_Iberic,,2001-2010,1.0
subregio_estacio,roni,La Nina,El Nino,mes_molt_fred,34,30,4,2,11.76470588235294,6.666666666666667,-5.098039215686274,0.7882735575835551,5.098039215686274,Llevant_Iberic,Spring,,1.0
subregio_estacio,roni,La Nina,El Nino,episodi_calid_i_sol_sec,34,30,4,2,11.76470588235294,6.666666666666667,-5.098039215686274,0.7882735575835551,5.098039215686274,Golf_Lleo,Spring,,1.0
subregio,roni,La Nina,El Nino,mes_molt_humit,146,138,37,28,25.34246575342466,20.28985507246377,-5.052610680960889,0.38337039176573817,5.052610680960889,Golf_Lleo,,,1.0
estacio,roni,La Nina,El Nino,mes_molt_sec,136,120,9,14,6.61764705882353,11.666666666666666,5.049019607843137,0.23374455456462537,5.049019607843137,,Spring,,1.0
subregio_estacio,roni,La Nina,El Nino,sol_molt_sec,27,31,3,5,11.11111111111111,16.129032258064516,5.017921146953405,0.8641406084472035,5.017921146953405,Mediterrani_Central_Occidental,Summer,,1.0
subregio,roni,La Nina,El Nino,mes_molt_humit,146,138,20,12,13.698630136986301,8.695652173913043,-5.002977963073257,0.2522306237173415,5.002977963073257,Mediterrani_Central_Occidental,,,1.0
subregio_estacio,roni,La Nina,El Nino,mes_molt_fred,46,40,8,5,17.391304347826086,12.5,-4.891304347826086,0.7415198606203166,4.891304347826086,Mediterrani_Central_Occidental,Winter,,1.0
estacio,roni,La Nina,El Nino,mes_molt_humit,156,148,24,30,15.384615384615385,20.27027027027027,4.885654885654886,0.33510208650341217,4.885654885654886,,Autumn,,1.0
estacio,roni,La Nina,El Nino,mes_molt_fred,184,160,40,27,21.73913043478261,16.875,-4.864130434782607,0.3174179528215424,4.864130434782607,,Winter,,1.0
periode,roni,La Nina,El Nino,sol_molt_sec,140,116,27,28,19.28571428571429,24.137931034482758,4.852216748768473,0.4306273841114697,4.852216748768473,,,2001-2010,1.0
subregio_estacio,roni,La Nina,El Nino,mes_molt_humit,46,40,7,8,15.217391304347828,20.0,4.782608695652174,0.7656184344215211,4.782608695652174,Mediterrani_Central_Occidental,Winter,,1.0
subregio,roni,La Nina,El Nino,sol_molt_humit,146,138,45,36,30.82191780821918,26.08695652173913,-4.73496128648005,0.4521647009368698,4.73496128648005,Llevant_Iberic,,,1.0
subregio_periode,roni,La Nina,El Nino,sol_molt_humit,35,29,8,8,22.857142857142858,27.586206896551722,4.729064039408867,0.8847297613808278,4.729064039408867,Golf_Lleo,,2001-2010,1.0
subregio_periode,roni,La Nina,El Nino,sol_molt_humit,45,24,11,7,24.444444444444443,29.166666666666668,4.722222222222225,0.8905172739285422,4.722222222222225,Llevant_Iberic,,2011-2020,1.0
subregio_estacio,roni,La Nina,El Nino,sol_molt_humit,27,31,3,2,11.11111111111111,6.451612903225806,-4.659498207885305,0.8715367353741886,4.659498207885305,Mediterrani_Central_Occidental,Summer,,1.0
