ambit,teleconnexio,variable_booleana,n,n_events,event_rate_pct,pointbiserial_r,p_value,abs_r,subregio,estacio,periode,q_fdr
subregio_periode,roni,sol_molt_sec,120,43,35.833333333333336,-0.13221090343942238,0.15001860722976224,0.13221090343942238,Llevant_Iberic,,1991-2000,0.6402316871463372
subregio_estacio,roni,episodi_calid_i_sol_sec,120,14,11.666666666666666,0.13198115976315,0.1507344065618472,0.13198115976315,Golf_Lleo,Summer,,0.6402316871463372
subregio_estacio,roni,sol_molt_humit,120,32,26.666666666666668,0.13095250931056246,0.15397085509428668,0.13095250931056246,Golf_Lleo,Summer,,0.6402316871463372
subregio_estacio,roni,mes_molt_fred,120,21,17.5,-0.1302359143944237,0.1562561080699004,0.1302359143944237,Catalunya_Balears,Autumn,,0.6402316871463372
estacio,roni,sol_molt_sec,480,144,30.0,0.12961139036699676,0.004451668255308263,0.12961139036699676,,Spring,,0.17150367928943802
subregio_estacio,roni,mes_molt_fred,120,27,22.5,0.12906095746421747,0.1600579217865843,0.12906095746421747,Golf_Lleo,Spring,,0.6402316871463372
subregio_periode,roni,sol_molt_sec,120,23,19.166666666666668,-0.1275790934629288,0.16495071356703772,0.1275790934629288,Golf_Lleo,,1981-1990,0.653138178972513
subregio_estacio,roni,sol_molt_sec,120,30,25.0,-0.12647219196301757,0.16867736441843298,0.12647219196301757,Catalunya_Balears,Autumn,,0.6562970036225494
subregio_periode,roni,mes_molt_fred,120,6,5.0,-0.12634871011167212,0.16909693205580992,0.12634871011167212,Catalunya_Balears,,2011-2020,0.6562970036225494
subregio_estacio,roni,mes_molt_calid,120,18,15.0,0.12471953337400904,0.17470512283437328,0.12471953337400904,Mediterrani_Central_Occidental,Summer,,0.6663026584513394
subregio_periode,roni,episodi_calid_i_sec,120,6,5.0,0.12352000764648541,0.17892108675421087,0.12352000764648541,Mediterrani_Central_Occidental,,2011-2020,0.6743948654581794
periode,roni,mes_molt_fred,480,26,5.416666666666667,-0.12347480937811645,0.006758487079508445,0.12347480937811645,,,2011-2020,0.22077724459727585
subregio_estacio,roni,mes_molt_fred,120,28,23.333333333333332,-0.12234416620541945,0.18312584834430604,0.12234416620541945,Golf_Lleo,Autumn,,0.6836698338187426
estacio,roni,mes_molt_humit,480,16,3.3333333333333335,0.11866180363355128,0.009263561990393618,0.11866180363355128,,Summer,,0.24208775334895322
subregio_estacio,roni,sol_molt_sec,120,41,34.166666666666664,0.11786524374886233,0.19980449636278155,0.11786524374886233,Catalunya_Balears,Spring,,0.7388996469265129
subregio_estacio,roni,episodi_calid_i_sol_sec,120,10,8.333333333333332,0.11673111827977095,0.20419631350861503,0.11673111827977095,Llevant_Iberic,Winter,,0.7480836906110008
subregio_estacio,roni,mes_molt_calid,120,12,10.0,-0.11469736203460995,0.21224472014641155,0.11469736203460995,Llevant_Iberic,Spring,,0.7681630157651084
subregio_periode,roni,mes_molt_sec,120,14,11.666666666666666,-0.11289688204780764,0.21955659968749877,0.11289688204780764,Mediterrani_Central_Occidental,,1981-1990,0.7804405082669228
estacio,roni,mes_molt_fred,480,82,17.083333333333332,-0.1126684288698094,0.013516046196093704,0.1126684288698094,,Autumn,,0.27689970041401324
subregio_periode,roni,episodi_calid_i_sol_sec,120,4,3.3333333333333335,-0.10998028037747885,0.23177671529287838,0.10998028037747885,Golf_Lleo,,1981-1990,0.7812700673212901
subregio_periode,roni,mes_molt_sec,120,28,23.333333333333332,-0.10923471166735502,0.23497561011801102,0.10923471166735502,Golf_Lleo,,1981-1990,0.7812700673212901
subregio_estacio,roni,mes_molt_calid,120,21,17.5,0.10911937256568387,0.23547322041889066,0.10911937256568387,Mediterrani_Central_Occidental,Winter,,0.7812700673212901
estacio,roni,mes_molt_fred,480,77,16.041666666666668,0.1085759869592807,0.017330631776048547,0.1085759869592807,,Summer,,0.30880034800959233
subregio_periode,roni,mes_molt_fred,120,3,2.5,-0.1079330275313606,0.24063425445766007,0.1079330275313606,Llevant_Iberic,,2011-2020,0.7812700673212901
subregio_estacio,roni,mes_molt_calid,120,24,20.0,0.10785525100853187,0.240975337102027,0.10785525100853187,Golf_Lleo,Summer,,0.7812700673212901
subregio_periode,roni,episodi_calid_i_sol_sec,120,13,10.833333333333334,0.10777501810655359,0.24132754405485385,0.10777501810655359,Mediterrani_Central_Occidental,,2011-2020,0.7812700673212901
subregio_periode,roni,mes_molt_calid,120,14,11.666666666666666,0.10639583875747381,0.24743785924033054,0.10639583875747381,Mediterrani_Central_Occidental,,2001-2010,0.7822229098565288
subregio_estacio,roni,episodi_fred_i_humit,120,2,1.6666666666666667,-0.10388218226912252,0.2588475720830768,0.10388218226912252,Mediterrani_Central_Occidental,Autumn,,0.7903978012247348
