ambit,teleconnexio,fase_a,fase_b,variable_booleana,n_a,n_b,events_a,events_b,rate_a_pct,rate_b_pct,diff_b_minus_a_pct,chi2_p,abs_diff_pct,subregio,estacio,periode,chi2_q_fdr
subregio,wemo,Negative,Positive,mes_molt_fred,170,145,23,49,13.529411764705882,33.793103448275865,20.26369168356998,3.56090970899471e-05,20.26369168356998,Golf_Lleo,,,0.0012139975983967918
subregio_estacio,wemo,Negative,Positive,mes_molt_humit,46,34,12,2,26.08695652173913,5.88235294117647,-20.204603580562658,0.04002181538029804,20.204603580562658,Catalunya_Balears,Autumn,,0.19908287650712359
subregio_estacio,roni,La Nina,El Nino,sol_molt_sec,34,30,9,14,26.47058823529412,46.666666666666664,20.19607843137255,0.15580290541358519,20.19607843137255,Catalunya_Balears,Spring,,0.46760419608476766
subregio_estacio,roni,La Nina,El Nino,sol_molt_sec,34,30,9,14,26.47058823529412,46.666666666666664,20.19607843137255,0.15580290541358519,20.19607843137255,Llevant_Iberic,Spring,,0.46760419608476766
subregio_periode,wemo,Negative,Positive,mes_molt_fred,30,47,8,22,26.666666666666668,46.808510638297875,20.141843971631207,0.1265523814339428,20.141843971631207,Golf_Lleo,,1991-2000,0.4149492168707307
subregio_estacio,wemo,Negative,Positive,mes_molt_calid,48,34,11,1,22.916666666666664,2.941176470588235,-19.97549019607843,0.02750990078164696,19.97549019607843,Golf_Lleo,Spring,,0.1569400040413677
estacio,nao,Negative,Positive,sol_molt_sec,160,208,32,83,20.0,39.90384615384615,19.903846153846157,7.182182661453834e-05,19.903846153846157,,Spring,,0.001900013776802787
estacio,roni,La Nina,El Nino,sol_molt_humit,136,120,53,23,38.970588235294116,19.166666666666668,-19.80392156862745,0.0008879087351015177,19.80392156862745,,Spring,,0.013966564427813062
subregio_periode,nao,Negative,Positive,mes_molt_calid,59,33,8,11,13.559322033898304,33.33333333333333,19.774011299435028,0.04785366736025262,19.774011299435028,Golf_Lleo,,2001-2010,0.22103836828307163
periode,nao,Negative,Positive,mes_molt_humit,176,212,38,4,21.59090909090909,1.8867924528301887,-19.704116638078904,1.40339237310561e-09,19.704116638078904,,,1991-2000,2.0419359028686624e-07
