ambit,teleconnexio,variable,n,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r,abs_spearman_r,subregio,estacio,periode,pearson_q_fdr,spearman_q_fdr
subregio_estacio_periode,nao,pressio_nivell_mar,30,0.7669541467601777,7.680904761810921e-07,0.7264434353551403,5.494341451999981e-06,0.7669541467601777,0.7264434353551403,Golf_Lleo,Winter,1981-1990,1.2064248316980505e-05,7.391490742600871e-05
subregio_estacio_periode,wemo,velocitat_vent,30,0.7667591160910401,7.76115818015117e-07,0.7267467914680584,5.420965198939162e-06,0.7667591160910401,0.7267467914680584,Catalunya_Balears,Spring,1991-2000,1.2126809656486203e-05,7.342165054996607e-05
subregio_estacio_periode,nao,anomalia_precipitacio_mm_dia,30,-0.7666344338981869,7.812862062207992e-07,-0.7508342602892103,1.7563402085302678e-06,0.7666344338981869,0.7508342602892103,Mediterrani_Central_Occidental,Winter,1991-2000,1.2175888928116352e-05,2.7230080752407252e-05
subregio_estacio_periode,nao,pressio_nivell_mar,30,0.7658476734033675,8.14639981081798e-07,0.7512791991101224,1.7181319819125621e-06,0.7658476734033675,0.7512791991101224,Mediterrani_Central_Occidental,Winter,1991-2000,1.2662797633395822e-05,2.6776082835000966e-05
subregio_estacio_periode,nao,precipitacio_mm_dia,30,-0.7636140845316146,9.164980265093749e-07,-0.7010011123470522,1.599809174768911e-05,0.7636140845316146,0.7010011123470522,Mediterrani_Central_Occidental,Winter,1991-2000,1.4028031018000634e-05,0.00019509867984986718
subregio_estacio_periode,wemo,vent_u10,30,0.7626787639258262,9.624837493506783e-07,0.7690253861952266,6.873916925881768e-07,0.7626787639258262,0.7690253861952266,Mediterrani_Central_Occidental,Spring,1991-2000,1.4659831095079533e-05,1.1617887762053691e-05
estacio_periode,wemo,vent_u10,120,0.7610827959237862,6.290147235555991e-24,0.7232933058354863,1.0638445439694957e-20,0.7610827959237862,0.7232933058354863,,Winter,2011-2020,6.621207616374727e-22,9.118667519738536e-19
subregio_estacio,nao,pressio_nivell_mar,120,0.7609694452172275,6.4450776251807495e-24,0.7670462735504084,1.715133824855397e-24,0.7609694452172275,0.7670462735504084,Llevant_Iberic,Autumn,,6.667321681221465e-22,2.2868450998071955e-22
subregio_estacio_periode,nao,pressio_nivell_mar,30,0.7608269392917456,1.0597608991420743e-06,0.7503893214682981,1.7953168056388624e-06,0.7608269392917456,0.7503893214682981,Catalunya_Balears,Summer,1991-2000,1.6016537518520014e-05,2.762025854829019e-05
subregio_estacio_periode,nao,anomalia_precipitacio_mensual_mm,30,-0.7604049024460118,1.0831426771928082e-06,-0.7370411568409344,3.398581044149734e-06,0.7604049024460118,0.7370411568409344,Mediterrani_Central_Occidental,Winter,1991-2000,1.6328784078283542e-05,4.8321057499759254e-05
subregio_estacio_periode,nao,pressio_nivell_mar,30,0.7582390645339182,1.2106679065812056e-06,0.7284458828032861,5.0260972749435745e-06,0.7582390645339182,0.7284458828032861,Golf_Lleo,Winter,2001-2010,1.8114731769294848e-05,6.900820057130766e-05
estacio_periode,nao,pressio_nivell_mar,120,0.7524082356199469,3.8977245710216495e-23,0.7446062922675342,1.8872965269052035e-22,0.7524082356199469,0.7446062922675342,,Summer,1991-2000,3.9637876993440505e-21,1.91928460363241e-20
subregio_estacio_periode,nao,pressio_nivell_mar,30,0.7524079380877805,1.6245594029207949e-06,0.8169985588435146,3.6361148207868666e-08,0.7524079380877805,0.8169985588435146,Catalunya_Balears,Autumn,2011-2020,2.3949278667137025e-05,7.99146114458652e-07
subregio_estacio_periode,nao,pressio_nivell_mar,30,0.7497026720292486,1.857007089564763e-06,0.7533652288246571,1.5488467888686312e-06,0.7497026720292486,0.7533652288246571,Catalunya_Balears,Autumn,1991-2000,2.7308927787717103e-05,2.4520001934595742e-05
subregio_estacio_periode,nao,pressio_nivell_mar,30,0.7495135397730763,1.8743332621566553e-06,0.7632925472747497,9.320766175621406e-07,0.7495135397730763,0.7632925472747497,Llevant_Iberic,Spring,1991-2000,2.749633147418076e-05,1.5302960296211036e-05
subregio_estacio,nao,pressio_nivell_mar,120,0.748669972168467,8.359427853611553e-23,0.7242295339228624,8.982715089339102e-21,0.748669972168467,0.7242295339228624,Mediterrani_Central_Occidental,Winter,,8.222388052732676e-21,7.811056599425306e-19
subregio_estacio_periode,nao,pressio_nivell_mar,30,0.7486507027640931,1.955249974623799e-06,0.7846496106785317,2.8638655502681003e-07,0.7486507027640931,0.7846496106785317,Llevant_Iberic,Spring,1981-1990,2.8538293914313775e-05,5.386580972291098e-06
estacio,nao,pressio_nivell_mar,480,0.7484116442747171,2.7799116646725763e-87,0.7199733262709693,7.485003840815065e-78,0.7484116442747171,0.7199733262709693,,Winter,,5.559823329345152e-84,8.982004608978077e-75
subregio_periode,nao,pressio_nivell_mar,120,0.7478877991558837,9.789786059962668e-23,0.7690015835394717,1.1106608981711211e-24,0.7478877991558837,0.7690015835394717,Llevant_Iberic,,1991-2000,9.473986509641291e-21,1.570087575052677e-22
