model,term,coef_estandarditzat,p_value,ci_low,ci_high,r_squared,n,q_fdr
sst_z,Intercept,-0.011013942770865119,0.8097970200376886,-0.10070242077962428,0.07867453523789404,0.09207550114139884,1920,1.0
sst_z,C(subregio)[T.Catalunya_Balears],-2.923458489253009e-07,0.9999957595034854,-0.10781260783691772,0.10781202314521986,0.09207550114139884,1920,1.0
sst_z,C(subregio)[T.Golf_Lleo],-3.507254732212597e-07,0.9999956481296964,-0.12603197068465166,0.12603126923370522,0.09207550114139884,1920,1.0
sst_z,C(subregio)[T.Mediterrani_Central_Occidental],-2.026069470395524e-08,0.9999997198260838,-0.11308756741365567,0.11308752689226625,0.09207550114139884,1920,1.0
sst_z,C(estacio)[T.Spring],-0.01376622525065856,0.7616866854935003,-0.10273515315800727,0.07520270265669016,0.09207550114139884,1920,1.0
sst_z,C(estacio)[T.Summer],0.011340957385869405,0.86864724615993,-0.1230662841890818,0.1457481989608206,0.09207550114139884,1920,1.0
sst_z,C(estacio)[T.Autumn],0.046481702280266046,0.4045314890487418,-0.06281210984814996,0.15577551440868204,0.09207550114139884,1920,0.7705361696166511
sst_z,nao_z,0.15300027402142735,6.494895895282971e-12,0.10933985339112806,0.19666069465172664,0.09207550114139884,1920,4.329930596855314e-11
sst_z,wemo_z,-0.28171504156227445,5.647639559216655e-36,-0.32580897582218477,-0.2376211073023641,0.09207550114139884,1920,7.53018607895554e-35
sst_z,roni_z,0.04581022016416465,0.01988245424569988,0.007251441176134105,0.0843689991521952,0.09207550114139884,1920,0.06627484748566627
