ambit,teleconnexio,fase_a,fase_b,variable,n_a,n_b,mean_a,mean_b,diff_b_minus_a,cohens_d,mannwhitney_p,abs_diff,abs_d,subregio,estacio,periode,mannwhitney_q_fdr
subregio_estacio,nao,Negative,Positive,anomalia_sst,40,52,-0.17352912499999998,0.09910995892884616,0.27263908392884617,0.5784695093321501,0.03868649474178287,0.27263908392884617,0.5784695093321501,Llevant_Iberic,Spring,,0.10153118341018855
subregio_estacio,nao,Negative,Positive,anomalia_humitat_sol_capa1,66,32,0.00951437591030303,-0.0177860892825,-0.02730046519280303,-0.5779232954508977,0.007077366209328712,0.02730046519280303,0.5779232954508977,Llevant_Iberic,Autumn,,0.026131813695982938
subregio_estacio,wemo,Negative,Positive,anomalia_temperatura,43,34,0.4763265671488372,-0.2749175258823529,-0.7512440930311901,-0.5742482814879195,0.00903564007672414,0.7512440930311901,0.5742482814879195,Golf_Lleo,Summer,,0.03189049438843814
subregio_estacio,nao,Negative,Positive,anomalia_humitat_sol_capa1,66,32,0.006905791626969698,-0.011243772240625,-0.018149563867594698,-0.5728268101942509,0.02775319041531073,0.018149563867594698,0.5728268101942509,Golf_Lleo,Autumn,,0.07785310558061191
subregio_estacio,roni,La Nina,El Nino,anomalia_sst,39,37,-0.1610821758974359,0.3882886247594595,0.5493708006568954,0.5721675179812203,0.014183379849150461,0.5493708006568954,0.5721675179812203,Golf_Lleo,Autumn,,0.0455894352294122
estacio,nao,Negative,Positive,anomalia_humitat_sol_capa1,160,208,0.0129291164409375,-0.009418942070625,-0.022348058511562498,-0.5691574911479147,3.36342628978054e-08,0.022348058511562498,0.5691574911479147,,Spring,,5.104598366622348e-07
subregio_estacio,wemo,Negative,Positive,anomalia_humitat_sol_capa1,33,43,-0.004790507448484848,0.003748412816279069,0.008538920264763918,0.5652245023362484,0.03426622993675469,0.008538920264763918,0.5652245023362484,Golf_Lleo,Winter,,0.09205852818829617
subregio_estacio,nao,Negative,Positive,anomalia_sst,28,69,-0.22960407224999999,0.10386255476811596,0.3334666270181159,0.5647261945875622,0.03386816838384295,0.3334666270181159,0.5647261945875622,Golf_Lleo,Winter,,0.09121601459987627
subregio_estacio,nao,Negative,Positive,anomalia_sst,57,44,0.1424498646491228,-0.2568446067272728,-0.39929447137639557,-0.5645907470910579,0.015472798552679964,0.39929447137639557,0.5645907470910579,Llevant_Iberic,Summer,,0.0488614691137262
subregio_estacio,nao,Negative,Positive,anomalia_temperatura,28,69,-0.3787092248214286,0.24502308991304342,0.623732314734472,0.564181104965043,0.03191120476963876,0.623732314734472,0.564181104965043,Catalunya_Balears,Winter,,0.08703055846265116
subregio_estacio,wemo,Negative,Positive,anomalia_humitat_sol_capa1,33,43,0.0053768529666666665,-0.007342114036744188,-0.012718967003410854,-0.5604805108189383,0.009068084284930816,0.012718967003410854,0.5604805108189383,Catalunya_Balears,Winter,,0.031952792912643656
global,nao,Negative,Positive,anomalia_precipitacio_mensual_mm,764,788,7.399270842859006,-7.803403478956351,-15.202674321815358,-0.5581434723818184,5.665675737104153e-26,15.202674321815358,0.5581434723818184,,,,4.706869073901912e-24
estacio,nao,Negative,Positive,anomalia_precipitacio_mensual_mm,160,208,8.011825432712213,-6.8749833590261495,-14.886808791738362,-0.5572281797500427,6.945967495080383e-07,14.886808791738362,0.5572281797500427,,Spring,,8.023149619985898e-06
subregio_estacio,nao,Negative,Positive,anomalia_precipitacio_mensual_mm,40,52,6.444555407259614,-6.633085805471412,-13.077641212731026,-0.5565595631280766,0.041750235213697716,13.077641212731026,0.5565595631280766,Catalunya_Balears,Spring,,0.10787142112630031
subregio_estacio,nao,Negative,Positive,anomalia_temperatura,40,52,-0.314357881655,0.17966912638461532,0.4940270080396153,0.5544710918474481,0.012957131829908097,0.4940270080396153,0.5544710918474481,Llevant_Iberic,Spring,,0.04264448413154569
subregio,wemo,Negative,Positive,anomalia_sst,170,145,0.24491862797294117,-0.25434602604620693,-0.4992646540191481,-0.5537064098172769,9.734688561887018e-06,0.4992646540191481,0.5537064098172769,Golf_Lleo,,,8.761219705698316e-05
estacio,nao,Negative,Positive,anomalia_sst,112,276,-0.19087636342589284,0.09365581087318842,0.2845321742990813,0.5516057328026904,3.91698945456913e-06,0.2845321742990813,0.5516057328026904,,Winter,,3.832268193265032e-05
subregio_estacio,wemo,Negative,Positive,anomalia_precipitacio_mensual_mm,43,34,-5.636674235449282,6.926626363615779,12.56330059906506,0.550653055151538,0.030823527013569312,12.56330059906506,0.550653055151538,Golf_Lleo,Summer,,0.0846118287263798
subregio_estacio,nao,Negative,Positive,anomalia_temperatura,66,32,-0.2664719227878788,0.4543529795312501,0.7208249023191289,0.5493084225223088,0.012823404999015468,0.7208249023191289,0.5493084225223088,Golf_Lleo,Autumn,,0.04235253027197769
subregio,wemo,Negative,Positive,anomalia_humitat_sol_capa1,170,145,-0.007012744123058823,0.007757471673793102,0.014770215796851924,0.5439868597916314,4.281602625433095e-07,0.014770215796851924,0.5439868597916314,Golf_Lleo,,,5.345815994760396e-06
subregio_estacio,nao,Negative,Positive,anomalia_sst,40,52,-0.195544908325,0.1578299462076923,0.3533748545326923,0.5435915279487,0.014781522292443726,0.3533748545326923,0.5435915279487,Golf_Lleo,Spring,,0.04702222113649256
subregio,wemo,Negative,Positive,anomalia_sst,170,145,0.22838845620882353,-0.19405584722068964,-0.42244430342951317,-0.5419832208148342,7.816497467211772e-06,0.42244430342951317,0.5419832208148342,Mediterrani_Central_Occidental,,,7.184525331564862e-05
subregio_estacio,nao,Negative,Positive,anomalia_humitat_sol_capa1,66,32,0.00568443252530303,-0.012293443159375,-0.01797787568467803,-0.5407368444942432,0.013380247764793083,0.01797787568467803,0.5407368444942432,Catalunya_Balears,Autumn,,0.04364201721575892
subregio_estacio,roni,La Nina,El Nino,anomalia_temperatura,39,37,-0.23454488717948715,0.4430629508108109,0.677607837990298,0.5355201592275112,0.03962111236035636,0.677607837990298,0.5355201592275112,Golf_Lleo,Autumn,,0.10360968849681568
estacio,nao,Negative,Positive,anomalia_humitat_sol_capa1,264,128,0.007225150506174241,-0.013588150322187497,-0.02081330082836174,-0.5327982596373021,3.9209781051461665e-06,0.02081330082836174,0.5327982596373021,,Autumn,,3.832268193265032e-05
subregio_estacio,roni,La Nina,El Nino,anomalia_sst,46,40,-0.10221987060869568,0.199313757375,0.3015336279836957,0.5310593765763519,0.037317760348342034,0.3015336279836957,0.5310593765763519,Golf_Lleo,Winter,,0.09830044189319366
global,wemo,Negative,Positive,anomalia_sst,680,580,0.20229867139617647,-0.20040180020241383,-0.4027004715985903,-0.5267540722414182,1.1415462950745539e-16,0.4027004715985903,0.5267540722414182,,,,6.0139999935635035e-15
subregio_estacio,roni,La Nina,El Nino,anomalia_precipitacio_mensual_mm,34,30,13.429006716466564,-6.86074832893908,-20.28975504540564,-0.5236925885596951,0.03891302126769031,20.28975504540564,0.5236925885596951,Golf_Lleo,Spring,,0.10188136477358918
subregio,wemo,Negative,Positive,anomalia_temperatura,170,145,0.29012541682352944,-0.2101926863310345,-0.5003181031545639,-0.521830517970622,2.5265461559588812e-06,0.5003181031545639,0.521830517970622,Catalunya_Balears,,,2.6144238042556775e-05
subregio_estacio,roni,La Nina,El Nino,anomalia_humitat_sol_capa1,39,37,-0.0073203158158974355,0.0092871667,0.016607482515897436,0.5205193507712552,0.08082692442020534,0.016607482515897436,0.5205193507712552,Golf_Lleo,Autumn,,0.1818628840971076
subregio_estacio,roni,La Nina,El Nino,anomalia_precipitacio_mensual_mm,34,30,5.217914378533467,-7.281772927828134,-12.4996873063616,-0.5193516644010455,0.15580003367859963,12.4996873063616,0.5193516644010455,Mediterrani_Central_Occidental,Spring,,0.29571886884514514
subregio_estacio,roni,La Nina,El Nino,anomalia_temperatura,34,30,0.1253673607647059,-0.2856931032666667,-0.4110604640313726,-0.5161997173702095,0.053536137112614825,0.4110604640313726,0.5161997173702095,Mediterrani_Central_Occidental,Spring,,0.1327647028280689
estacio,nao,Negative,Positive,anomalia_temperatura,112,276,-0.38449656936607146,0.2518333317365942,0.6363299011026657,0.5157500579587215,0.00018649121281103472,0.6363299011026657,0.5157500579587215,,Winter,,0.0011159657429594969
subregio,nao,Negative,Positive,anomalia_humitat_sol_capa1,191,197,0.010725487930649215,-0.010367728142081216,-0.02109321607273043,-0.5092130023653256,1.3989070819414287e-06,0.02109321607273043,0.5092130023653256,Llevant_Iberic,,,1.549558613842813e-05
estacio,roni,La Nina,El Nino,anomalia_precipitacio_mensual_mm,136,120,6.7620346491170285,-7.050476577260221,-13.81251122637725,-0.5087598545404143,0.00020984999191601546,13.81251122637725,0.5087598545404143,,Spring,,0.0012250702230772795
subregio,wemo,Negative,Positive,anomalia_sst,170,145,0.15706167239705884,-0.1705291498358621,-0.3275908222329209,-0.507630553531162,0.0001998319386578913,0.3275908222329209,0.507630553531162,Llevant_Iberic,,,0.0011825670890439595
