tipus_resultat,descripcio,forca,p_valor,q_fdr
diferencia_fases,NAO Negative vs Positive · Pressió · subregio_periode,1.3195870527624292,2.719406788798858e-08,4.225840765327721e-07
diferencia_fases,WEMO Negative vs Positive · Evaporació potencial · subregio_estacio,1.5432796328459426,2.7871421090578822e-08,4.300162111117875e-07
diferencia_fases,NAO Negative vs Positive · Pressió · subregio_estacio,1.319613009692966,4.4995866883955965e-08,6.70283258409275e-07
diferencia_fases,WEMO Negative vs Positive · Vent U10 · subregio_periode,1.5744524865024996,4.579466678828562e-08,6.775101387855955e-07
diferencia_booleanes,WEMO Negative vs Positive · mes_molt_fred · estacio,0.260230179028133,5.644416761718979e-09,7.300112345156546e-07
diferencia_fases,WEMO Negative vs Positive · Vent U10 · subregio_periode,1.5910315032978541,6.09076065377606e-08,8.949689123915844e-07
diferencia_fases,NAO Negative vs Positive · Vent V10 · subregio_periode,1.2690467222499764,6.326251889538535e-08,9.232908163110294e-07
diferencia_fases,WEMO Negative vs Positive · Velocitat vent · subregio_periode,1.5585564555290428,8.03395897771724e-08,1.1268409994720285e-06
diferencia_fases,WEMO Negative vs Positive · Vent U10 · subregio_periode,1.5903949860116935,8.409404120109637e-08,1.1718911548023753e-06
diferencia_fases,NAO Negative vs Positive · Vent V10 · subregio_estacio,1.3209323932406982,9.091211003902715e-08,1.2587830620788375e-06
diferencia_fases,WEMO Negative vs Positive · Velocitat vent · subregio_estacio,1.396604610512324,2.521808888784217e-07,3.3417835581435024e-06
diferencia_fases,WEMO Negative vs Positive · Precipitació mensual · subregio_estacio,1.4223236854398367,3.9316903681564266e-07,5.025119050424782e-06
diferencia_fases,WEMO Negative vs Positive · Anomalia temperatura · subregio_estacio,1.3480385113800721,4.0101813444209226e-07,5.059202346003813e-06
diferencia_fases,WEMO Negative vs Positive · Precipitació mm/dia · subregio_estacio,1.4136038040110377,4.388683344075342e-07,5.386111376819738e-06
diferencia_fases,WEMO Negative vs Positive · Anomalia precipitació diària · subregio_estacio,1.403441009874156,4.388683344075342e-07,5.386111376819738e-06
diferencia_fases,WEMO Negative vs Positive · Anomalia precipitació mensual · subregio_estacio,1.4023135712775645,4.896711632064719e-07,5.942077036662805e-06
diferencia_fases,WEMO Negative vs Positive · Velocitat vent · subregio_estacio,1.3449611289918688,5.411610020682546e-07,6.458053947333867e-06
diferencia_fases,WEMO Negative vs Positive · Velocitat vent · subregio_periode,1.3232519920089074,5.480759054729109e-07,6.4690926547622274e-06
diferencia_fases,WEMO Negative vs Positive · Vent U10 · subregio_periode,1.3873185549233513,5.512413163768735e-07,6.471093713989384e-06
diferencia_booleanes,NAO Negative vs Positive · sol_molt_humit · estacio,0.26634615384615384,1.5424001022344009e-07,1.4387140396342016e-05
diferencia_booleanes,NAO Negative vs Positive · sol_molt_humit · estacio,0.23925983436853,1.6068112126498817e-07,1.4387140396342016e-05
diferencia_fases,WEMO Negative vs Positive · Velocitat vent · subregio_periode,1.2974307924864124,1.5183577105320837e-06,1.6732921707904595e-05
diferencia_booleanes,WEMO Negative vs Positive · mes_molt_fred · periode,0.25093984962406013,2.111563294118571e-07,1.755614053110012e-05
diferencia_booleanes,NAO Negative vs Positive · sol_molt_humit · periode,0.23445540308747856,2.2880784106268637e-07,1.7755488466464463e-05
diferencia_fases,WEMO Negative vs Positive · Anomalia SST · subregio_estacio,1.2895339001170318,1.8073719555984394e-06,1.9617705648706678e-05
diferencia_fases,WEMO Negative vs Positive · Evaporació potencial · subregio_estacio,1.3611912359927796,1.857678749815269e-06,2.0062930498004903e-05
diferencia_fases,WEMO Negative vs Positive · Velocitat vent · subregio_periode,1.2928437542624232,1.9844018102253214e-06,2.111481729106746e-05
diferencia_booleanes,WEMO Negative vs Positive · mes_molt_calid · estacio,0.2311381074168798,2.975040874701069e-07,2.1643422363450278e-05
diferencia_fases,WEMO Negative vs Positive · Vent U10 · subregio_periode,1.2829723685824161,2.1681565329668345e-06,2.2844966396138352e-05
