WeMOi monthly data (1821-2019)												
												
-999 missing value												
												
Moderate reliable values: 1821-1869. Jul1873-Aug1873. May1874. 1921. Jul1924. Apr1927. 1933-1943. Jun1989-Dec1994. Mar2002. Jun2006-Jul2006. Jun2011-Dec2011.												
                                                                                												
MARTIN-VIDE J. LOPEZ-BUSTINS JA. 2006. The Western Mediterranean Oscillation and Iberian Peninsula Rainfall. International Journal of Climatology 26: 1455-1475.												
												
												
												
	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
1892	-0,11	0,28	-1,25	-0,25	1,23	1,34	2,28	0,07	-0,15	-0,22	-0,94	0,04
1893	0,18	1,36	-2,06	-1,94	0,98	1,21	1,26	-0,87	0,11	1,25	0,66	-0,38
1894	-0,17	-0,07	-1,10	2,52	1,75	0,98	1,46	-0,46	1,45	0,17	-1,27	0,52
1895	1,22	-1,04	0,31	-0,51	0,50	-0,14	2,03	-0,47	-1,00	0,53	-0,55	0,99
1896	-0,94	-0,91	0,73	1,22	0,82	1,19	1,53	0,84	2,24	0,83	0,08	1,20
1897	-0,05	1,04	2,90	2,76	1,82	0,30	1,06	0,77	2,36	-0,82	-2,30	-0,73
1898	-1,89	1,39	-0,81	2,26	2,42	1,11	1,13	0,17	-0,79	0,43	-1,46	0,10
1899	0,62	-1,43	-1,11	2,68	1,31	1,72	1,50	-0,41	2,13	-1,39	-1,24	0,06
1900	1,23	0,60	0,06	2,71	1,75	1,48	0,52	-0,02	-1,25	0,35	1,57	0,94
1901	-0,71	-0,59	0,65	0,86	0,52	1,21	-0,01	0,76	0,90	0,94	-1,17	0,64
1902	-0,01	-0,04	0,51	-0,26	3,40	1,40	2,09	0,51	-0,14	0,83	-1,31	0,41
1903	-1,17	0,23	0,97	1,50	1,35	1,91	2,49	0,82	0,34	1,78	1,12	0,13
1904	0,15	2,28	-0,69	0,09	1,84	0,95	2,39	1,58	0,11	0,23	0,12	0,63
1905	-0,30	1,05	1,74	2,37	0,02	1,92	1,50	1,83	1,46	0,39	1,66	-0,86
1906	0,19	2,20	0,56	-0,54	2,03	1,45	1,36	0,16	-0,65	-0,07	0,48	1,21
1907	-0,20	0,65	0,35	3,22	0,47	2,19	3,40	0,01	-1,17	0,64	-2,26	0,79
1908	-0,86	1,59	0,71	2,52	0,97	1,22	3,04	1,82	-0,25	-1,34	-1,27	0,60
1909	-0,29	-0,15	1,51	-0,34	0,10	2,81	3,33	1,50	1,75	0,74	-0,29	0,81
1910	1,59	1,96	-0,67	2,45	1,43	2,88	3,31	2,05	0,83	-0,51	3,02	0,49
1911	-0,55	-0,12	-0,41	1,71	1,49	1,41	0,51	0,74	2,11	0,58	0,29	0,90
1912	-0,56	-0,37	1,95	0,77	2,86	2,51	2,90	3,36	0,33	0,80	1,32	-0,50
1913	0,04	-0,92	-0,53	1,51	2,19	1,14	4,30	1,22	-0,07	-1,34	1,39	0,76
1914	0,23	-0,17	3,42	-0,94	2,76	2,61	3,75	-0,36	1,57	0,71	-0,28	1,12
1915	2,42	1,75	-0,07	2,61	-0,26	1,59	1,18	1,24	1,25	1,11	0,22	0,73
1916	0,52	1,33	-0,21	1,64	0,72	0,98	2,01	1,59	0,54	1,78	0,44	0,92
1917	0,50	-1,09	1,86	1,69	-1,01	-0,07	1,22	1,90	0,64	3,07	0,98	-0,85
1918	-1,15	0,02	-0,63	0,16	0,47	1,63	1,76	0,67	2,46	1,51	-1,10	1,56
1919	0,89	0,97	1,84	3,38	1,88	0,75	2,17	1,33	-1,35	1,37	1,30	1,77
1920	1,27	-1,87	1,15	2,20	-1,41	1,11	1,81	0,15	0,08	0,07	-1,86	0,19
1921	1,13	-1,29	-1,02	0,36	-0,01	1,04	0,34	1,11	-1,78	-0,89	-0,38	0,77
1922	1,06	0,22	1,35	4,25	1,38	1,56	3,01	0,67	2,49	-0,34	0,38	0,83
1923	0,81	2,25	-0,16	1,06	0,85	1,69	0,23	0,79	1,46	1,03	0,63	2,16
1924	-0,13	0,39	-0,92	2,37	0,65	1,16	2,20	1,57	2,06	0,68	-0,96	0,13
1925	-0,35	1,07	-0,34	4,10	3,41	1,42	3,34	1,73	1,41	1,20	0,87	0,86
1926	0,58	0,30	0,90	2,57	2,88	2,79	2,47	-0,10	0,68	-0,39	0,21	0,54
1927	1,51	-0,19	2,84	3,07	0,34	0,73	4,31	1,53	1,58	-0,33	-0,54	-0,04
1928	0,58	0,32	-0,24	1,41	1,50	-0,88	-0,02	0,00	-0,20	1,27	2,58	0,61
1929	-0,12	-0,23	-1,91	-0,54	2,21	1,42	0,29	0,39	-0,35	1,80	1,28	0,84
1930	-0,59	-0,13	0,38	1,41	3,10	-0,16	3,14	0,47	1,94	2,01	0,81	0,63
1931	1,05	2,05	-0,74	0,14	1,52	0,30	2,21	3,14	0,46	0,64	0,31	-0,15
1932	-0,25	-1,53	-0,88	3,06	2,77	0,22	-0,97	-2,72	-1,97	1,83	-1,00	-1,84
1933	-0,43	0,38	0,03	1,50	1,93	2,24	0,98	-0,18	0,35	0,80	0,06	0,32
1934	0,76	-0,46	1,53	0,51	1,04	0,52	1,09	2,26	1,43	1,42	-0,61	1,42
1935	0,38	2,27	-0,61	3,49	-0,23	0,95	0,46	-0,66	1,37	2,39	0,74	1,93
1936	0,73	0,28	-0,79	1,71	0,37	2,39	3,08	-1,44	0,75	1,70	-0,43	-0,21
1937	-0,21	2,21	2,04	2,98	1,49	1,67	0,64	0,37	0,44	-1,54	0,51	1,29
1938	1,02	-0,28	-0,75	-1,98	2,01	-0,14	1,21	1,48	0,75	0,80	0,33	0,16
1939	0,97	-0,09	1,37	0,79	1,93	1,29	0,24	0,31	0,00	1,35	1,00	0,16
1940	-0,37	-0,13	-0,10	1,43	2,10	1,00	2,24	0,44	1,06	-0,23	1,85	1,15
1941	0,38	1,76	0,35	0,45	3,40	0,78	1,34	0,62	-1,36	1,36	-0,80	0,15
1942	1,44	0,10	-0,91	-0,66	2,27	0,24	1,13	-0,88	-0,44	-0,17	-1,29	-0,40
1943	0,63	0,17	-2,29	-0,43	2,59	0,91	1,25	0,15	-0,13	-0,02	1,69	-0,79
1944	0,68	0,85	1,22	-0,02	0,18	0,83	1,93	-0,87	0,68	2,13	1,99	-0,04
1945	1,28	0,45	0,30	-0,24	-0,27	-1,04	1,59	1,85	1,26	0,26	-0,78	1,12
1946	-1,06	1,42	-0,09	-2,33	0,56	1,14	0,16	1,53	1,53	0,00	0,25	1,26
1947	-0,64	0,25	0,57	1,48	-1,49	-0,05	-0,22	-0,04	0,07	-0,41	1,30	1,54
1948	1,62	-0,44	-0,51	-1,19	0,50	1,45	0,93	1,06	1,00	0,21	0,01	-1,66
1949	-0,42	-0,37	-1,21	-1,02	0,69	0,47	-0,06	-1,35	-1,35	1,09	1,81	-0,26
1950	-0,43	1,89	0,39	2,78	-0,88	0,12	0,74	0,06	1,58	0,88	1,91	1,40
1951	1,03	1,41	0,38	0,13	2,38	0,21	0,93	0,87	0,38	-0,67	0,69	-0,31
1952	1,17	1,17	-0,16	-0,16	0,04	0,33	0,83	0,68	2,07	2,31	1,44	1,55
1953	0,20	0,84	-1,22	-0,06	1,53	1,12	1,67	-0,59	0,67	0,05	-1,31	-1,79
1954	0,98	0,61	0,16	0,91	2,57	1,69	3,34	1,78	2,94	1,69	-0,16	1,00
1955	0,24	1,54	-0,91	0,42	1,48	0,36	1,38	-0,17	0,78	0,12	-1,17	1,18
1956	-0,09	-0,46	-1,01	0,26	2,91	1,93	2,05	1,67	0,59	1,27	1,03	0,16
1957	0,30	1,29	-0,59	-0,68	1,15	0,73	2,27	0,73	1,74	-0,31	-0,11	0,06
1958	0,65	1,12	1,78	2,27	2,20	2,13	2,20	0,79	0,71	1,14	-0,24	0,59
1959	0,58	-1,14	-0,11	2,14	-1,15	1,37	0,54	-1,03	-1,36	0,58	-0,01	2,31
1960	0,43	0,00	-0,30	1,07	-0,28	-0,97	1,37	1,70	0,85	1,14	1,64	1,35
1961	0,69	0,81	-0,30	2,04	0,33	0,14	-0,32	-1,50	-1,06	1,16	-0,97	0,38
1962	0,49	0,74	-0,18	0,95	2,11	-0,94	1,00	0,71	0,73	-0,82	0,31	0,79
1963	-1,14	0,60	1,96	-0,31	1,58	0,52	-0,16	1,33	0,63	0,80	1,18	-1,28
1964	-1,31	0,11	0,27	0,74	1,14	-0,25	0,79	-0,17	-0,21	2,49	0,81	0,04
1965	0,67	-0,13	0,77	3,22	1,68	0,91	2,56	0,22	0,24	-3,21	2,09	2,10
1966	0,40	0,54	0,84	2,35	0,44	0,92	1,29	0,77	-0,77	0,88	1,14	1,94
1967	0,33	-0,89	1,20	-0,82	1,50	-1,00	-0,29	-0,36	1,83	0,32	-1,44	1,18
1968	1,55	-0,46	-0,93	-0,45	0,31	-0,56	-0,37	0,87	2,73	0,35	-1,05	0,45
1969	-0,50	-0,48	-0,53	0,73	1,30	0,71	-1,03	-0,40	0,60	-1,40	0,45	1,57
1970	-0,28	2,35	0,33	3,96	0,07	0,34	1,01	0,19	-0,92	0,18	0,51	-0,65
1971	0,15	0,43	-0,92	-3,06	-1,17	1,96	-1,79	-0,50	-1,40	-0,39	0,98	-0,99
1972	-0,41	-0,41	-0,73	2,14	2,45	0,63	1,29	-0,18	-1,78	-0,86	0,01	-1,51
1973	0,07	1,51	-0,45	0,89	-0,16	-0,55	0,75	-1,35	1,16	0,89	-0,06	-0,32
1974	0,35	0,96	-1,10	-0,62	1,15	0,56	0,15	-0,10	1,79	3,49	0,99	0,83
1975	0,10	-1,36	0,97	0,42	0,04	1,65	0,56	-0,71	1,31	1,09	1,11	-1,30
1976	0,73	-0,83	-0,27	-0,59	0,46	-1,19	1,36	-1,14	0,45	0,79	1,67	0,15
1977	-0,26	1,60	0,63	1,78	0,41	1,56	1,68	1,35	0,38	-1,05	1,83	-0,89
1978	0,94	0,31	2,61	1,36	1,64	1,68	0,39	-0,36	2,27	0,21	0,08	0,67
1979	-0,48	0,94	1,55	2,95	1,61	0,55	0,42	0,42	0,62	-1,57	2,02	1,55
1980	-0,27	-0,48	0,81	-0,29	0,64	1,59	2,06	0,75	-0,08	2,44	0,35	1,20
1981	1,27	-0,18	0,48	-1,36	1,69	-0,76	-0,09	-0,63	1,27	1,84	0,27	2,48
1982	-0,23	-0,90	-0,07	-1,48	0,04	1,15	0,94	-0,04	-0,05	1,53	-0,05	2,06
1983	0,96	-0,14	0,66	0,06	2,59	-0,77	0,50	0,39	0,45	0,78	-1,14	0,08
1984	1,72	0,74	-0,27	-0,80	0,68	0,67	-1,13	-1,07	1,64	1,19	-0,99	-0,36
1985	0,32	-0,60	1,14	0,38	-0,26	-0,67	-3,04	-0,48	-0,70	-0,91	0,50	0,19
1986	2,10	-0,25	0,50	0,59	-0,97	-0,06	-1,11	0,60	-0,26	-0,23	-0,63	1,00
1987	-0,34	0,39	0,18	-1,12	1,04	0,37	-2,28	-2,22	-1,88	-1,13	0,34	-0,93
1988	0,52	0,79	2,73	-0,24	-0,84	-0,25	0,77	0,45	0,31	-1,15	-1,99	0,73
1989	-1,12	0,27	-0,25	1,26	-1,38	0,27	-0,27	0,48	-1,32	-0,37	-2,26	-1,68
