Data,Any,Mes,Estació,Subregió,Període,NAO,Fase NAO,Anomalia precipitació mensual (mm),Precipitació mensual (mm),Es hivern
2011-01,2011,1,Hivern,Mediterrani central occidental,2011-2020,-1.38,Negativa,5.143339329957961,63.986613035202026,True
2020-12,2020,12,Hivern,Mediterrani central occidental,2011-2020,-0.78,Negativa,70.53302438259125,143.14559888839722,True
1981-04,1981,4,Primavera,Catalunya-Balears,1981-1990,-3.04,Negativa,61.38822546601296,111.54751539230348,False
1982-04,1982,4,Primavera,Catalunya-Balears,1981-1990,-0.99,Negativa,-12.673491328954697,37.485798597335815,False
1983-04,1983,4,Primavera,Catalunya-Balears,1981-1990,-1.01,Negativa,-26.69871398806572,23.460575938224792,False
1983-05,1983,5,Primavera,Catalunya-Balears,1981-1990,-0.57,Negativa,-23.086360489577054,21.58125990629196,False
1984-03,1984,3,Primavera,Catalunya-Balears,1981-1990,-2.12,Negativa,25.09734042920172,67.90128779411316,False
1984-05,1984,5,Primavera,Catalunya-Balears,1981-1990,-2.34,Negativa,53.634495759755374,98.3021161556244,False
1985-05,1985,5,Primavera,Catalunya-Balears,1981-1990,-2.13,Negativa,45.59039404466749,90.2580144405365,False
1986-04,1986,4,Primavera,Catalunya-Balears,1981-1990,-0.93,Negativa,4.167959600687027,54.32724952697754,False
1987-05,1987,5,Primavera,Catalunya-Balears,1981-1990,-0.81,Negativa,-1.675288891047238,42.99233150482178,False
1988-04,1988,4,Primavera,Catalunya-Balears,1981-1990,-2.39,Negativa,27.243611723184586,77.4029016494751,False
1988-05,1988,5,Primavera,Catalunya-Balears,1981-1990,-1.24,Negativa,21.27097156122327,65.93859195709229,False
1990-05,1990,5,Primavera,Catalunya-Balears,1981-1990,-1.19,Negativa,-8.716165398806332,35.95145499706268,False
1991-03,1991,3,Primavera,Catalunya-Balears,1991-2000,-1.37,Negativa,35.29960712231696,78.1035544872284,False
1993-05,1993,5,Primavera,Catalunya-Balears,1991-2000,-2.59,Negativa,-15.419776891916989,29.247843503952023,False
